1girl,1个女性
solo,单独人物
long_hair,长发
breasts,乳房
looking_at_viewer,看向阅图者
blush,脸红
smile,微笑|笑容
short_hair,短发
open_mouth,张嘴的
bangs,刘海
blue_eyes,蓝眼睛
multiple_girls,多个女孩
skirt,短裙
blonde_hair,金发
large_breasts,巨乳
brown_hair,棕色头发
simple_background,朴素的背景
shirt,衬衫
black_hair,黑发
hair_ornament,发饰
red_eyes,红眼睛
thighhighs,含过膝袜和裤袜
hat,帽子
gloves,手套
1boy,1个男性
long_sleeves,长袖
white_background,白色背景
dress,连衣裙
ribbon,丝带|缎带
bow,蝴蝶结
navel,肚脐
2girls,2个女性
holding,拿着某物
animal_ears,兽耳
cleavage,乳沟
hair_between_eyes,延伸到两眼之间的刘海
bare_shoulders,露肩
brown_eyes,棕色的眼睛
twintails,双马尾
medium_breasts,普通罩杯的胸
jewelry,珠宝
sitting,坐
very_long_hair,很长的头发
underwear,内衣
closed_mouth,闭着的嘴
nipples,乳头
school_uniform,校服
green_eyes,绿色的眼镜
blue_hair,蓝色头发
standing,站立的
purple_eyes,紫色的眼睛
collarbone,锁骨
panties,内裤|短裤|裤袜
monochrome,单色画
tail,尾巴
jacket,夹克
swimsuit,泳装
full_body,全身|画出了全身
closed_eyes,闭上的眼睛
hair_ribbon,发绳
yellow_eyes,黄色的眼睛
weapon,武器|兵器
ponytail,马尾
upper_body,上半身
purple_hair,紫色头发
ass,屁股
pink_hair,粉红色的头发
white_shirt,白衬衫
comic,漫画
braid,三股辫
flower,花
ahoge,呆毛
short_sleeves,短袖
hair_bow,蝴蝶结发圈
greyscale,纯黑白色|黑白照片化
hetero,异性恋
white_hair,白发
male_focus,男性特写
heart,心|心形|爱心
pantyhose,连裤袜|裤袜
bikini,比基尼
sidelocks,披在耳前的发绺
thighs,大腿
nude,裸体
red_hair,红发
cowboy_shot,七分身镜头
pleated_skirt,百褶裙
sweat,汗水
hairband,发箍
small_breasts,贫乳|娇小的乳房
earrings,耳环
multicolored_hair,多色的头发
boots,长靴
grey_hair,灰色的头发|白发|银发
lying,躺着的
censored,打码的
frills,花边
parted_lips,张开的嘴唇
detached_sleeves,分离袖子
one_eye_closed,闭着一只眼
outdoors,户外|野战
food,食物
japanese_clothes,日式服装
multiple_boys,多个男孩
green_hair,绿发
wings,翅膀
open_clothes,敞开的衣服
sky,天空
necktie,领带
horns,角|有角的
penis,阴茎
shoes,鞋子
glasses,眼镜|眼镜娘
barefoot,裸足
shorts,短裤
serafuku,水手服
pussy,小穴
teeth,牙齿
day,白天
solo_focus,以单独人物为焦点
sleeveless,无袖
choker,项圈
alternate_costume,角色换装
tongue,舌头
pointy_ears,妖精耳
socks,袜子
black_gloves,黑色手套
elbow_gloves,长手套
hairclip,发夹
fang,虎牙
striped,条纹样式的
midriff,腹部
puffy_sleeves,蓬蓬的袖子
shiny,光泽
looking_back,回眸
belt,皮带|腰带
sword,剑
collared_shirt,翻领衬衫
pants,裤子
cloud,云
artist_name,作者署名
black_thighhighs,黑色高筒裤
tears,眼泪
indoors,室内
cat_ears,猫耳
silver_hair,银发
white_gloves,白手套
3girls,3个女性
hair_flower,头发上别着花
virtual_youtuber,虚拟Youtuber
signature,签名
dark_skin,褐色皮肤
hand_up,抬起手
spread_legs,张开腿|M字张腿|桃色蹲姿|V字张腿
cum,精液
2boys,2个男性
hood,兜帽
sex,性交
miniskirt,迷你裙
wide_sleeves,宽大的袖子
tongue_out,吐舌头
fingerless_gloves,无指手套
on_back,仰躺
blunt_bangs,直刘海
black_skirt,黑色短裙
bowtie,领结
armpits,腋下
pink_eyes,粉红色的眼睛
sailor_collar,水手领
kimono,和服
black_legwear,黑丝袜
medium_hair,中等长发
water,水
grey_background,灰色背景
necklace,项链
chibi,迷你角色
off_shoulder,露肩式
bag,包
hair_bun,发髻|团子头
clothes_lift,掀起衣物
scarf,围巾
cape,披风
from_behind,背影
star_(symbol),星形
twitter_username,推特用户名
bra,胸罩
stomach,小腹
yuri,百合
nail_polish,指甲油
sweatdrop,汗珠
orange_hair,橙色头发
white_dress,白色连衣裙
armor,盔甲
holding_weapon,手持武器
black_footwear,黑色的鞋
white_panties,白色内裤
rabbit_ears,兔子耳朵
mole,痣
uniform,制服
hair_over_one_eye,头发遮住了一只眼睛
grin,露齿笑
huge_breasts,爆乳
character_name,含角色名
black_eyes,黑色眼睛
apron,围裙
blurry,模糊的
looking_at_another,看着另一个
vest,背心
black_dress,黑色连衣裙
high_heels,高跟鞋
arm_up,举着手
twin_braids,两条辫子
vaginal,阴道
mosaic_censoring,打了马赛克
red_bow,红色蝴蝶结
flat_chest,平胸|贫乳
arms_up,举起手
side_ponytail,侧马尾
shiny_hair,有光泽的 头发
bracelet,手镯
covered_nipples,激凸的乳头|隐约可见的乳头
collar,项圈
feet,脚
dated,付上日期的
from_side,角色的侧面
aqua_eyes,水蓝色眼睛
sweater,毛衣
white_thighhighs,白色长筒袜
speech_bubble,对话框|会话气泡
two-tone_hair,双色头发
leotard,紧身连身衣裤|芭蕾服
red_ribbon,红色丝带
two_side_up,小型双股辫
english_text,英语
dark-skinned_female,黑皮肤的女性
sketch,素描
tree,树
open_jacket,敞开的夹克
cup,杯子
lips,嘴唇
blue_sky,蓝天
puffy_short_sleeves,蓬蓬的短袖
zettai_ryouiki,绝对领域
blue_skirt,蓝色短裙
groin,腹股沟|耻丘
fingernails,指甲
coat,外套
wet,湿透的|沾湿的
cat_tail,猫尾巴
v-shaped_eyebrows,眉毛皱成V形(表高傲或愤怒)
white_legwear,白丝袜
neckerchief,领巾
head_tilt,歪着头
black_jacket,黑色夹克
official_alternate_costume,官方替代服装
streaked_hair,有其他颜色条纹的头发
see-through,半透明的|可透过看到里层衣物|因沾湿而变透明
orange_eyes,橙色的眼镜
hand_on_hip,手叉着腰|手搁在腰上
gradient,(身体或肢体)倾斜
gun,枪
shiny_skin,有光泽的皮肤
crop_top,露腹短上衣
wrist_cuffs,和袖子分开的手腕的袖口
pillow,枕头
book,书
animal_ear_fluff,耳绒毛
torn_clothes,破损的衣服
plaid,格子呢图案
maid,女仆
sleeves_past_wrists,袖子长过手腕
looking_to_the_side,看向侧面
kneehighs,及膝袜
grey_eyes,灰色的眼睛
military,军事
sash,饰带|日式束腰
parted_bangs,分开的刘海
maid_headdress,女仆头饰
legs,双腿
petals,花瓣
cosplay,角色扮演
black_panties,黑色内裤
black_pantyhose,黑色连裤袜
fur_trim,皮草款式|毛皮镶边
bare_arms,裸臂
pubic_hair,阴毛
hands_up,双手朝上|双手抬起|双手举起
one-piece_swimsuit,一体式泳衣
gradient_background,渐变色(效果)的背景
symbol-shaped_pupils,符号形瞳孔
fox_ears,狐耳
loli,萝莉
ascot,阿斯科特领巾
short_shorts,热裤
dutch_angle,德式倾斜镜头
clothing_cutout,服装切口
black_shirt,黑色衬衫
eyelashes,睫毛
open_shirt,敞开的衬衫
bare_legs,裸腿
no_humans,不含人类
dress_shirt,西服衬衫
sparkle,菱形或星形的闪光
bar_censor,黑条打码
kneeling,跪着
window,窗
mole_under_eye,眼角有痣
pokemon_(creature),口袋妖怪(生物)|宝可梦
4girls,4个女性
single_braid,单股辫
hug,拥抱
bodysuit,连体紧身衣
v,比V|剪刀手
no_bra,没穿胸罩
sleeveless_shirt,无袖衬衫
bell,钟|铃
saliva,唾液
double_bun,团子头
strapless,无肩带款式
aqua_hair,水蓝色头发
uncensored,无修正
military_uniform,军服
black_ribbon,黑色丝带
black_headwear,黑色头饰
bed,床
blood,血
4koma,四格漫画
hoodie,连帽衫
sideboob,侧乳
profile,侧颜
pussy_juice,爱液|淫水
completely_nude,完全裸体
black_bow,黑蝴蝶结
covered_navel,隐约入目的肚脐
makeup,化妆
tattoo,纹身
skindentation,皮肤的凹陷
leaning_forward,身体前倾
neck_ribbon,颈部系着缎带
muscular,肌肉
no_panties,下半身真空
thigh_strap,大腿缠着带子
mask,面具
capelet,披肩
gradient_hair,渐变色的头发
multiple_views,多角度|多姿势
witch_hat,女巫帽
copyright_name,版权署名
anus,肛门
alternate_hairstyle,发型变化
fruit,水果
underboob,下乳|南半球
detached_collar,假领
headband,扎头巾(名词)
depth_of_field,景深(画法)
night,夜
sleeveless_dress,无袖连衣裙
buttons,纽扣
floating_hair,飘动的头发
cameltoe,骆驼趾
side-tie_bikini_bottom,侧绑比基尼底部
blue_dress,蓝色洋装
fox_tail,狐狸尾巴
cum_in_pussy,内射|中出
toes,脚趾
bottomless,裸下半身
black_bikini,黑色比基尼
shadow,阴影
nose_blush,鼻子发红
glowing,发光的
red_skirt,红色裙子
blurry_background,模糊的背景
rose,玫瑰|蔷薇
feet_out_of_frame,双脚不在图内
headgear,头部饰品(含一定科幻元素)
holding_hands,牵手
bed_sheet,床单
swept_bangs,扫把状刘海
fake_animal_ears,仿制的动物耳朵
chain,锁链
facial_hair,胡须
6+girls,6个以上的女性
siblings,兄弟姐妹
turtleneck,高领服饰
bird,鸟|拟鸟化
headphones,耳机
ocean,海
colored_skin,彩色皮肤
arm_support,手臂支撑动作
umbrella,雨伞
heterochromia,虹膜异色
low_twintails,低扎双尾
halterneck,绕颈系带
animal,动物
frown,皱眉
beret,贝雷帽
thigh_boots,高帮靴
leaf,叶子
embarrassed,害羞
pov,第一人称视角
one_side_up,只扎了一边的头发
back,后背
on_bed,在床上
from_above,俯视镜头
garter_straps,吊带袜的吊带
white_headwear,白色头饰
watermark,水印
ass_visible_through_thighs,正面可见的屁股
fangs,尖牙
blue_background,蓝色背景
transparent_background,透明背景
highleg,高开衩的衣物
white_bikini,白色比基尼
on_side,侧卧
plaid_skirt,格子呢短裙
scar,伤痕
traditional_media,纯手绘
mouth_hold,用嘴叼着
wariza,鸭子坐
parody,模仿捏他别的作品及人物
beach,海滩
chair,椅子
wavy_hair,卷发
blue_bow,蓝色蝴蝶结
hair_tubes,束发套
facial_mark,脸部有图案
bandages,绷带
upper_teeth,露出上排牙齿
looking_away,移开视线
female_pubic_hair,女性阴毛
blush_stickers,表情贴纸
drill_hair,钻头发型
shirt_lift,拉起掀起卷起衬衫
expressionless,无口
chinese_clothes,中国风
black_choker,黑色项链
obi,和服腰带
grabbing,抓住|抓着
brown_footwear,棕色鞋类
arms_behind_back,双手背到身后
eating,咀嚼
pantyshot,内裤走光
no_shoes,没穿鞋
topless,赤裸上身
clothes_pull,拉开衣物
holding_sword,手持剑
heart-shaped_pupils,心形瞳孔|心形眼
thigh_gap,大腿之间(绝对领域)
thick_thighs,肉腿
short_dress,短裙
soles,脚底
looking_down,俯视
skirt_lift,将裙子掀上去
phone,电话|手机
magical_girl,魔法少女
eyepatch,眼罩
stuffed_toy,填料布偶玩具
floral_print,花朵图案(印花)
bound,绑住的
wavy_mouth,薯片嘴型
crossed_arms,交叉双臂
flying_sweatdrops,飞扬的汗珠
hair_intakes,进气口发型
black_shorts,黑色短裤
border,边框
playboy_bunny,花花公子兔子
moon,月亮
formal,正装
piercing,穿洞
abs,腹肌
cover,封面
leg_up,抬起腿
sandals,凉鞋
from_below,仰视镜头
half-closed_eyes,半闭的双眼
cleavage_cutout,露出的乳沟
sunlight,阳光
erection,勃起
table,桌子
single_hair_bun,单包子头
black_pants,黑色长裤
oral,用嘴
happy,快乐|幸福
red_dress,红色连衣裙
cat,猫
underwear_only,只穿着内衣
squatting,蹲|工口蹲
scrunchie,发束
pink_background,粉色背景
school_swimsuit,校内泳衣|死库水
sunglasses,墨镜
testicles,睾丸
bdsm,SM
cum_on_body,射在身上
blazer,西装夹克
mob_cap,头巾式室内女帽
trembling,颤抖
white_footwear,白色鞋类
dark-skinned_male,黑皮男性
ring,戒指
sleeping,睡觉
wolf_ears,狼耳朵
backpack,背包
standing_on_one_leg,单腿站立
lingerie,女式内衣
knee_boots,及膝靴
eyes_visible_through_hair,透过头发可以看到的眼睛
hat_ribbon,带有缎带的帽子
halo,天使光环
light_brown_hair,茶色头发
breast_grab,揉胸
katana,日本刀
stuffed_animal,毛绒玩具
bob_cut,波波头
thick_eyebrows,浓眉
bat_wings,蝙蝠翅膀
cardigan,开襟衫
demon_girl,魅魔
crossed_legs,交叉的腿
frilled_dress,花边连衣裙
suspenders,背带
white_skirt,白色短裙
3boys,3个男性
helmet,头盔|头部装甲|头部防护罩
white_jacket,白色夹克
antenna_hair,呆毛
hood_down,放下的兜帽
cloudy_sky,多云天气
outstretched_arms,伸出双臂
cellphone,手机
polka_dot,圆斑点
cross,十字
crying,哭
tank_top,无袖紧身背心
bottle,瓶子
aged_down,老化
bug,bug
5girls,5个女性
undressing,脱衣
grass,草
crossover,跨界作品
fire,火
bent_over,弯腰
crown,王冠|皇冠
feathers,羽毛
suit,西装
tiara,皇冠头饰
light_smile,浅笑
frilled_skirt,花边裙子
breasts_out,乳房露出
high_ponytail,高马尾
knife,小刀
pectorals,胸肌
couple,情侣
looking_up,仰视
eyebrows,眉毛
denim,牛仔布
holding_food,拿着食物
own_hands_together,双手合十
hair_bobbles,头绳
straddling,跨坐
x_hair_ornament,X形发饰
wing_collar,燕子领
white_bow,白色蝴蝶结
on_stomach,趴着
areolae,乳晕
plant,植物
black_hairband,黑色发带
blue_shirt,蓝色衬衫
tan,小麦色(皮肤)
lipstick,口红|唇膏
outstretched_arm,伸出手臂
bondage,捆绑play
short_twintails,短双尾发型
fellatio,口交
horse_ears,马耳
robot,机器人
blue_ribbon,蓝色丝带
girl_on_top,女上位
curtains,窗帘
white_flower,白色的花
lifted_by_self,掀起自己的衣物
pointing,用手指着
animal_print,动物印花
monster_girl,人外娘
polearm,长柄武器
muscular_male,肌肉男性
pink_bow,粉色蝴蝶结
slit_pupils,猫瞳
juliet_sleeves,朱丽叶袖
all_fours,母豹pose
sex_from_behind,泛指从身后插入的体位
sisters,姐妹
cat_girl,猫娘
crescent,月牙
spiked_hair,刺刺的头发
staff,工作人员
hand_on_own_chest,把手放在自己的胸口
blue_sailor_collar,蓝色水手领
panty_pull,拉下来的内裤
cherry_blossoms,樱花
frilled_sleeves,花边袖子
blouse,罩衫
